net,num_params,year
RAFT,5257536,2020
GMA,5879873,2021
FlowFormer,16168113,2022
PWCNet,9374340,0
FlowNet2,162518834,2017
FlowNet2C,39175298,2017
FlowNet2S,38676506,2017
FlowNetCRobust,40842746,
SpyNet,1440300,0
IRR-PWC,6362092,2019
MemFlow,6273149,2024
SKFlow,6273149,2022
unimatch-scale2-regrefine6,7360688,2023
unimatch-scale2,4716720,2023
unimatch-scale1,4680288,2023
SEA-RAFT-S,8883460,2024
SEA-RAFT-M,19663876,2024
SEA-RAFT-L,19663876,2024
MatchFlowR,14823888,2023
MatchFlowG,15446225,2023
MS-RAFT+,16177316,2023
CCMR+,11523620,2024
ptlflow-rpknet,2846624,2024
