net,weight_path,training_stage,training_datasets,source_link
RAFT,models/_pretrained_weights/raft-chairs.pth,chairs,FlyingChairs_?,https://drive.google.com/drive/folders/1sWDsfuZ3Up38EUQt7-JDTT1HcGHuJgvT
RAFT,models/_pretrained_weights/raft-things.pth,things,FlyingChairs_FlyingThings3D_?,https://drive.google.com/drive/folders/1sWDsfuZ3Up38EUQt7-JDTT1HcGHuJgvT
RAFT,models/_pretrained_weights/raft-sintel.pth,sintel,FlyingChairs_FlyingThings3D_Sintel_?,https://drive.google.com/drive/folders/1sWDsfuZ3Up38EUQt7-JDTT1HcGHuJgvT
RAFT,models/_pretrained_weights/raft-kitti.pth,kitti,FlyingChairs_FlyingThings3D_Sintel_Kitti15_?,https://drive.google.com/drive/folders/1sWDsfuZ3Up38EUQt7-JDTT1HcGHuJgvT
GMA,models/_pretrained_weights/gma-chairs.pth,chairs,FlyingChairs_?,https://github.com/zacjiang/GMA/blob/2f1fd29468a86a354d44dd25d107930b3f175043/checkpoints/gma-chairs.pth
GMA,models/_pretrained_weights/gma-things.pth,things,FlyingChairs_FlyingThings3D_?,https://github.com/zacjiang/GMA/blob/2f1fd29468a86a354d44dd25d107930b3f175043/checkpoints/gma-things.pth
GMA,models/_pretrained_weights/gma-sintel.pth,sintel,FlyingChairs_FlyingThings3D_Sintel_?,https://github.com/zacjiang/GMA/blob/2f1fd29468a86a354d44dd25d107930b3f175043/checkpoints/gma-sintel.pth
GMA,models/_pretrained_weights/gma-kitti.pth,kitti,FlyingChairs_FlyingThings3D_Sintel_Kitti15_?,https://github.com/zacjiang/GMA/blob/2f1fd29468a86a354d44dd25d107930b3f175043/checkpoints/gma-kitti.pth
FlowFormer,models/_pretrained_weights/FlowFormer-Models/chairs.pth,chairs,FlyingChairs_?,https://drive.google.com/drive/folders/1K2dcWxaqOLiQ3PoqRdokrgWsGIf3yBA_https://drive.google.com/drive/folders/1K2dcWxaqOLiQ3PoqRdokrgWsGIf3yBA_
FlowFormer,models/_pretrained_weights/FlowFormer-Models/things.pth,things,FlyingChairs_FlyingThings3D_?,https://drive.google.com/drive/folders/1K2dcWxaqOLiQ3PoqRdokrgWsGIf3yBA_https://drive.google.com/drive/folders/1K2dcWxaqOLiQ3PoqRdokrgWsGIf3yBA_
FlowFormer,models/_pretrained_weights/FlowFormer-Models/sintel.pth,sintel,FlyingChairs_FlyingThings3D_Sintel_?,https://drive.google.com/drive/folders/1K2dcWxaqOLiQ3PoqRdokrgWsGIf3yBA_https://drive.google.com/drive/folders/1K2dcWxaqOLiQ3PoqRdokrgWsGIf3yBA_
FlowFormer,models/_pretrained_weights/FlowFormer-Models/kitti.pth,kitti,FlyingChairs_FlyingThings3D_Sintel_Kitti15_?,https://drive.google.com/drive/folders/1K2dcWxaqOLiQ3PoqRdokrgWsGIf3yBA_https://drive.google.com/drive/folders/1K2dcWxaqOLiQ3PoqRdokrgWsGIf3yBA_
PWCNet,models/_pretrained_weights/pwc_net_chairs.pth.tar,things,FlyingChairs_FlyingThings3D,https://github.com/NVlabs/PWC-Net/raw/master/PyTorch/pwc_net_chairs.pth.tar
PWCNet,models/_pretrained_weights/pwc_net.pth.tar,sintel,?,https://github.com/NVlabs/PWC-Net/raw/master/PyTorch/pwc_net.pth.tar
FlowNet2,models/_pretrained_weights/FlowNet/FlowNet2_checkpoint.pth.tar,things,?,https://drive.google.com/file/d/1hF8vS6YeHkx3j2pfCeQqqZGwA_PJq_Da/view?usp=sharing
FlowNet2C,models/_pretrained_weights/FlowNet/FlowNet2-C_checkpoint.pth.tar,things,?,https://drive.google.com/file/d/1BFT6b7KgKJC8rA59RmOVAXRM_S7aSfKE/view?usp=sharing
FlowNet2S,models/_pretrained_weights/FlowNet/FlowNet2-S_checkpoint.pth.tar,things,?,https://drive.google.com/file/d/1V61dZjFomwlynwlYklJHC-TLfdFom3Lg/view?usp=sharing
ptlflow-rpknet,things,things,FlyingChairs_FlyingThings3D_?,https://github.com/hmorimitsu/ptlflow/releases/download/weights1/rpknet-things-f79b0d81.ckpt
ptlflow-rpknet,sintel,sintel,FlyingChairs_FlyingThings3D_Sintel_?,https://github.com/hmorimitsu/ptlflow/releases/download/weights1/rpknet-sintel-e7cc969e.ckpt
ptlflow-rpknet,chairs,chairs,FlyingChairs_?,https://github.com/hmorimitsu/ptlflow/releases/download/weights1/rpknet-chairs-a705b345.ckpt
ptlflow-rpknet,kitti,kitti,FlyingChairs_FlyingThings3D_Sintel_Kitti15_?,https://github.com/hmorimitsu/ptlflow/releases/download/weights1/rpknet-kitti-39504eb4.ckpt
IRR-PWC,./models/_pretrained_weights/irr_weights/pwcnet/IRR-PWC_things3d/checkpoint_best.ckpt,things,FlyingChairs_FlyingThings3D_?,https://github.com/visinf/irr/blob/dacd07b1dc963fb8d3db7c75b562691af33f47b2/saved_check_point/pwcnet/IRR-PWC_things3d/checkpoint_best.ckpt
IRR-PWC,./models/_pretrained_weights/irr_weights/pwcnet/IRR-PWC_sintel/checkpoint_best.ckpt,sintel,FlyingChairs_FlyingThings3D_Sintel_?,https://github.com/visinf/irr/blob/dacd07b1dc963fb8d3db7c75b562691af33f47b2/saved_check_point/pwcnet/IRR-PWC_sintel/checkpoint_best.ckpt
IRR-PWC,./models/_pretrained_weights/irr_weights/pwcnet/IRR-PWC_flyingchairsOcc/checkpoint_best.ckpt,chairs,FlyingChairs_?,https://github.com/visinf/irr/blob/dacd07b1dc963fb8d3db7c75b562691af33f47b2/saved_check_point/pwcnet/IRR-PWC_flyingchairsOcc/checkpoint_best.ckpt
IRR-PWC,./models/_pretrained_weights/irr_weights/pwcnet/IRR-PWC_kitti/checkpoint_best.ckpt,kitti,FlyingChairs_FlyingThings3D_Sintel_Kitti15_?,https://github.com/visinf/irr/blob/dacd07b1dc963fb8d3db7c75b562691af33f47b2/saved_check_point/pwcnet/IRR-PWC_kitti/checkpoint_best.ckpt
