dataset,dataset_stage,dataset_pass,training_stage,checkpoint,metric_name,metric_value,weight_path,net
KITTI,train,,K,kitti.pth,EPE,0.6136693358421326,models/_pretrained_weights/FlowFormer-Models/kitti.pth,FlowFormer
KITTI,train,,K,kitti.pth,IR_{1px},0.89073707601118,models/_pretrained_weights/FlowFormer-Models/kitti.pth,FlowFormer
KITTI,train,,K,kitti.pth,IR_{3px},0.971812373615743,models/_pretrained_weights/FlowFormer-Models/kitti.pth,FlowFormer
KITTI,train,,K,kitti.pth,IR_{5px},0.9856959502550248,models/_pretrained_weights/FlowFormer-Models/kitti.pth,FlowFormer
KITTI,train,,K,kitti.pth,fl-kitti,0.013775205333922,models/_pretrained_weights/FlowFormer-Models/kitti.pth,FlowFormer
KITTI,train,,K,kitti.pth,MSE,8.8541259765625,models/_pretrained_weights/FlowFormer-Models/kitti.pth,FlowFormer
KITTI,train,,K,kitti.pth,WAUC,0.8679971359880245,models/_pretrained_weights/FlowFormer-Models/kitti.pth,FlowFormer
KITTI,train,,C,chairs.pth,EPE,10.222094535827637,models/_pretrained_weights/FlowFormer-Models/chairs.pth,FlowFormer
KITTI,train,,C,chairs.pth,IR_{1px},0.397270390090472,models/_pretrained_weights/FlowFormer-Models/chairs.pth,FlowFormer
KITTI,train,,C,chairs.pth,IR_{3px},0.651664722340846,models/_pretrained_weights/FlowFormer-Models/chairs.pth,FlowFormer
KITTI,train,,C,chairs.pth,IR_{5px},0.7362838229120107,models/_pretrained_weights/FlowFormer-Models/chairs.pth,FlowFormer
KITTI,train,,C,chairs.pth,fl-kitti,0.3397561100888072,models/_pretrained_weights/FlowFormer-Models/chairs.pth,FlowFormer
KITTI,train,,C,chairs.pth,MSE,400.6820373535156,models/_pretrained_weights/FlowFormer-Models/chairs.pth,FlowFormer
KITTI,train,,C,chairs.pth,WAUC,0.4532577368795147,models/_pretrained_weights/FlowFormer-Models/chairs.pth,FlowFormer
KITTI,train,,S,sintel.pth,EPE,3.041105031967163,models/_pretrained_weights/FlowFormer-Models/sintel.pth,FlowFormer
KITTI,train,,S,sintel.pth,IR_{1px},0.7937138210516145,models/_pretrained_weights/FlowFormer-Models/sintel.pth,FlowFormer
